date,tournament,team,opponent,goals,is_home,total_weight
2018-01-02,Gulf Cup,Iraq,United Arab Emirates,0,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,Oman,Bahrain,1,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,United Arab Emirates,Iraq,0,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,Bahrain,Oman,0,FALSE,0.05358905522479692
2018-01-05,Gulf Cup,Oman,United Arab Emirates,0,FALSE,0.053741923954864344
2018-01-05,Gulf Cup,United Arab Emirates,Oman,0,FALSE,0.053741923954864344
2018-01-07,Friendly,Estonia,Sweden,1,FALSE,0.02692203931438243
2018-01-07,Friendly,Sweden,Estonia,1,FALSE,0.02692203931438243
2018-01-11,Friendly,Denmark,Sweden,0,FALSE,0.02702448544201432
2018-01-11,Friendly,Indonesia,Iceland,0,TRUE,0.02702448544201432
2018-01-11,Friendly,Jordan,Finland,1,FALSE,0.02702448544201432
2018-01-11,Friendly,Sweden,Denmark,1,FALSE,0.02702448544201432
2018-01-11,Friendly,Iceland,Indonesia,6,FALSE,0.02702448544201432
2018-01-11,Friendly,Finland,Jordan,2,FALSE,0.02702448544201432
2018-01-14,Friendly,Indonesia,Iceland,1,TRUE,0.027101575787289424
2018-01-14,Friendly,Iceland,Indonesia,4,FALSE,0.027101575787289424
2018-01-27,Friendly,Moldova,South Korea,0,FALSE,0.027438183185966285
2018-01-27,Friendly,South Korea,Moldova,1,FALSE,0.027438183185966285
2018-01-28,Friendly,United States,Bosnia and Herzegovina,0,TRUE,0.027464248571527527
2018-01-28,Friendly,Yorkshire,Ellan Vannin,1,TRUE,0.027464248571527527
2018-01-28,Friendly,Bosnia and Herzegovina,United States,0,FALSE,0.027464248571527527
2018-01-28,Friendly,Ellan Vannin,Yorkshire,1,FALSE,0.027464248571527527
2018-01-30,Friendly,Azerbaijan,Moldova,0,FALSE,0.02751645364998923
2018-01-30,Friendly,Jamaica,South Korea,2,FALSE,0.02751645364998923
2018-01-30,Friendly,Moldova,Azerbaijan,0,FALSE,0.02751645364998923
2018-01-30,Friendly,South Korea,Jamaica,2,FALSE,0.02751645364998923
2018-01-31,Friendly,Mexico,Bosnia and Herzegovina,1,FALSE,0.02754259338995686
2018-01-31,Friendly,Bosnia and Herzegovina,Mexico,0,FALSE,0.02754259338995686
2018-02-03,Friendly,Latvia,South Korea,0,FALSE,0.02762116169567944
2018-02-03,Friendly,South Korea,Latvia,1,FALSE,0.02762116169567944
2018-02-26,Friendly,Saudi Arabia,Moldova,3,TRUE,0.02823101202262902
2018-02-26,Friendly,Moldova,Saudi Arabia,0,FALSE,0.02823101202262902
2018-02-28,Friendly,Iraq,Saudi Arabia,4,TRUE,0.028284674593948102
2018-02-28,Friendly,Saudi Arabia,Iraq,1,FALSE,0.028284674593948102
2018-03-17,Friendly,Iran,Sierra Leone,4,TRUE,0.02874494448672317
2018-03-17,Friendly,Sierra Leone,Iran,0,FALSE,0.02874494448672317
2018-03-21,Friendly,Andorra,Liechtenstein,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Antigua and Barbuda,Bermuda,3,TRUE,0.02885432729451387
2018-03-21,Friendly,Iraq,Qatar,2,TRUE,0.02885432729451387
2018-03-21,Friendly,Jordan,Kuwait,1,TRUE,0.02885432729451387
2018-03-21,Friendly,Laos,Cambodia,0,TRUE,0.02885432729451387
2018-03-21,Friendly,Madagascar,Togo,0,FALSE,0.02885432729451387
2018-03-21,Friendly,South Africa,Angola,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Tahiti,New Caledonia,0,TRUE,0.02885432729451387
2018-03-21,Friendly,Zambia,Zimbabwe,2,TRUE,0.02885432729451387
2018-03-21,Friendly,Liechtenstein,Andorra,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Bermuda,Antigua and Barbuda,2,FALSE,0.02885432729451387
2018-03-21,Friendly,Qatar,Iraq,3,FALSE,0.02885432729451387
2018-03-21,Friendly,Kuwait,Jordan,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Cambodia,Laos,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Togo,Madagascar,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Angola,South Africa,1,FALSE,0.02885432729451387
2018-03-21,Friendly,New Caledonia,Tahiti,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Zimbabwe,Zambia,2,FALSE,0.02885432729451387
2018-03-22,Friendly,Algeria,Tanzania,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Bahrain,Palestine,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Belize,Grenada,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Burkina Faso,Guinea-Bissau,2,FALSE,0.028881737971122607
2018-03-22,Friendly,China PR,Wales,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Denmark,Panama,1,TRUE,0.028881737971122607
2018-03-22,Friendly,Dominican Republic,Turks and Caicos Islands,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Faroe Islands,Latvia,1,FALSE,0.028881737971122607
2018-03-22,AFC Asian Cup qualification,Kyrgyzstan,Myanmar,5,FALSE,0.11552695188449043
2018-03-22,Friendly,Macau,Mauritius,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Malaysia,Mongolia,2,TRUE,0.028881737971122607
2018-03-22,Friendly,Malta,Luxembourg,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Nicaragua,Cuba,3,TRUE,0.028881737971122607
2018-03-22,Friendly,Philippines,Fiji,3,TRUE,0.028881737971122607
2018-03-22,Friendly,Slovakia,United Arab Emirates,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Thailand,Gabon,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Tanzania,Algeria,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Palestine,Bahrain,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Grenada,Belize,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Guinea-Bissau,Burkina Faso,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Wales,China PR,6,FALSE,0.028881737971122607
2018-03-22,Friendly,Panama,Denmark,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Turks and Caicos Islands,Dominican Republic,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Latvia,Faroe Islands,1,FALSE,0.028881737971122607
2018-03-22,AFC Asian Cup qualification,Myanmar,Kyrgyzstan,1,FALSE,0.11552695188449043
2018-03-22,Friendly,Mauritius,Macau,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Mongolia,Malaysia,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Luxembourg,Malta,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Cuba,Nicaragua,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Fiji,Philippines,2,FALSE,0.028881737971122607
2018-03-22,Friendly,United Arab Emirates,Slovakia,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Gabon,Thailand,0,FALSE,0.028881737971122607
2018-03-23,Friendly,Austria,Slovenia,3,TRUE,0.028909174686986547
2018-03-23,Friendly,Azerbaijan,Belarus,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Bulgaria,Bosnia and Herzegovina,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Curaçao,Bolivia,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Cyprus,Montenegro,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Finland,North Macedonia,0,FALSE,0.028909174686986547
2018-03-23,Friendly,France,Colombia,2,TRUE,0.028909174686986547
2018-03-23,Friendly,Gambia,Central African Republic,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Germany,Spain,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Greece,Switzerland,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Guadeloupe,Trinidad and Tobago,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Hungary,Kazakhstan,2,TRUE,0.028909174686986547
2018-03-23,Friendly,Italy,Argentina,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Japan,Mali,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Mexico,Iceland,3,FALSE,0.028909174686986547
